Album	Year	Song	Main composer	L	M	H	S	NumAuth	OtherAuth	Singer
Revolver	1966	For No One	McCartney	0	1	0	0	1	0	McCartney
Revolver	1966	I Want to Tell You	Harrison	0	0	1	0	1	0	Harrison
Revolver	1966	Good Day Sunshine 	McCartney	0	1	0	0	1	0	McCartney
Revolver	1966	Here, There and Everywhere	McCartney	0	1	0	0	1	0	McCartney
Revolver	1966	She Said She Said	Lennon	1	0	0	0	1	0	Lennon
Sgt. Pepper's Lonely Hearts Club Band	1967	When I´m Sixty-Four	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	A Day in the Life	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	Sgt. Pepper´s Lonely Hearts Club Band	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	Good Morning Good Morning	Lennon	1	0	0	0	1	0	Lennon
Sgt. Pepper's Lonely Hearts Club Band	1967	Fixing a Hole	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	Being For the Benefit of Mr. Kite	Lennon	1	0	0	0	1	0	Lennon
Sgt. Pepper's Lonely Hearts Club Band	1967	Lovely Rita	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	Lucy in the Sky with Diamonds	Lennon	1	0	0	0	1	0	Lennon
Sgt. Pepper's Lonely Hearts Club Band	1967	Getting Better	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	Within You Without You	Harrison	0	0	1	0	1	0	Harrison
Sgt. Pepper's Lonely Hearts Club Band	1967	She´s Leaving Home	McCartney	0	1	0	0	1	0	McCartney
Sgt. Pepper's Lonely Hearts Club Band	1967	With a Little Help From My Friends	McCartney	0	1	0	0	1	0	Starr
Sgt. Pepper's Lonely Hearts Club Band	1967	Sgt. Pepper´s Lonely Hearts Club Band (Reprise)	McCartney	0	1	0	0	1	0	Lennon/McCartney/ 
Magical Mystery Tour	1967	Magical Mystery Tour	McCartney	0	1	0	0	1	0	McCartney
Magical Mystery Tour	1967	Your Mother Should Know	McCartney	0	1	0	0	1	0	McCartney
Magical Mystery Tour	1967	Blue Jay Way	Harrison	0	0	1	0	1	0	Harrison
Magical Mystery Tour	1967	Flying	Harrison/Lennon/McCartney/Starkey	1	1	1	1	4	0	Harrison/Lennon/McCartney/Starr
Magical Mystery Tour	1967	The Fool on the Hill	McCartney	0	1	0	0	1	0	McCartney
Magical Mystery Tour	1967	I Am the Walrus	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Revolution 1	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Don´t Pass Me By	Starkey	0	0	0	1	1	0	Starr
The Beatles	1968	Revolution 9	Lennon	1	0	0	0	1	0	"""Instrumental"""
The Beatles	1968	Blackbird	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Everybody´s Got Something to Hide Except Me and My Monkey	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Good Night	Lennon	1	0	0	0	1	0	Starr
The Beatles	1968	Ob-la-di, Ob-la-da	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Cry Baby Cry	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Helter Skelter	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Sexy Sadie	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	While My Guitar Gently Weeps	Harrison	0	0	1	0	1	0	Harrison
The Beatles	1968	Mother Nature´s Son	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Yer Blues	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Rocky Raccoon	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Wild Honey Pie	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Back in the USSR	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Dear Prudence	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Glass Onion	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	I Will	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Birthday	McCartney	0	1	0	0	1	0	Lennon/McCartney
The Beatles	1968	Piggies	Harrison	0	0	1	0	1	0	Harrison
The Beatles	1968	Happiness is a Warm Gun	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Honey Pie	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Savoy Truffle	Harrison	0	0	1	0	1	0	Harrison
The Beatles	1968	Martha My Dear	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Long Long Long	Harrison	0	0	1	0	1	0	Harrison
The Beatles	1968	I´m So Tired	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	The Continuing Story of Bungalow Bill	Lennon	1	0	0	0	1	0	Lennon
The Beatles	1968	Why Don´t We Do It in the Road?	McCartney	0	1	0	0	1	0	McCartney
The Beatles	1968	Julia	Lennon	1	0	0	0	1	0	Lennon
Yellow Submarine	1969	Yellow Submarine	McCartney	0	1	0	0	1	0	Starr
Yellow Submarine	1969	Only a Nothern Song	Harrison	0	0	1	0	1	0	Harrison
Yellow Submarine	1969	All Together Now	McCartney	0	1	0	0	1	0	McCartney
Yellow Submarine	1969	It´s All Too Much	Harrison	0	0	1	0	1	0	Harrison
Yellow Submarine	1969	All You Need is Love	Lennon	1	0	0	0	1	0	Lennon
Yellow Submarine	1969	Hey Bulldog	Lennon/McCartney	1	1	0	0	2	0	Lennon
Abbey Road	1969	I Want You (She´s So Heavy)	Lennon	1	0	0	0	1	0	Lennon
Abbey Road	1969	Something	Harrison	0	0	1	0	1	0	Harrison
Abbey Road	1969	Oh! Darling	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Octopus´s Garden	Starkey	0	0	0	1	1	0	Starr
Abbey Road	1969	You Never Give Me Your Money	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Her Majesty	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Golden Slumbers	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Carry That Weight	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Here Comes the Sun	Harrison	0	0	1	0	1	0	Harrison
Abbey Road	1969	Maxwell´s Silver Hammer	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Come Together	Lennon	1	0	0	0	1	0	Lennon
Abbey Road	1969	The End	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Sun King	Lennon	1	0	0	0	1	0	Lennon
Abbey Road	1969	Mean Mr Mustard	Lennon	1	0	0	0	1	0	Lennon
Abbey Road	1969	Polythene Pam	Lennon	1	0	0	0	1	0	Lennon
Abbey Road	1969	She Came in Through the Bathroom Window	McCartney	0	1	0	0	1	0	McCartney
Abbey Road	1969	Because	Lennon	1	0	0	0	1	0	Lennon/McCartney/Harrison
Let It Be	1970	Across the Universe	Lennon	1	0	0	0	1	0	Lennon
Let It Be	1970	Dig a Ponny	Lennon	1	0	0	0	1	0	Lennon
Let It Be	1970	I´ve Got a Feeling	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Let It Be	1970	Get Back	McCartney	0	1	0	0	1	0	McCartney
Let It Be	1970	Two of Us	McCartney	0	1	0	0	1	0	Lennon/McCartney
Let It Be	1970	Maggie Mae	Trad. arr.	0	0	0	0	0	1	Lennon/McCartney
Let It Be	1970	Dig It	Lennon	1	0	0	0	1	0	Lennon
Let It Be	1970	For You Blue	Harrison	0	0	1	0	1	0	Harrison
Let It Be	1970	Let It Be	McCartney	0	1	0	0	1	0	McCartney
Let It Be	1970	The Long and Winding Road	McCartney	0	1	0	0	1	0	McCartney
Let It Be	1970	One After 909	Lennon	1	0	0	0	1	0	Lennon/McCartney
Let It Be	1970	I Me Mine	Harrison	0	0	1	0	1	0	Harrison
Songs not released on LP	1963	From Me to You	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Songs not released on LP	1963	Thank You Girl	Lennon/McCartney	1	1	0	0	2	0	Lennon
Songs not released on LP	1963	She Loves You	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Songs not released on LP	1963	I´ll Get You	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Songs not released on LP	1963	I Want to Hold Your Hand	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Songs not released on LP	1963	This Boy	Lennon	1	0	0	0	1	0	Lennon/McCartney/Harrison
Songs not released on LP	1964	She´s a Woman	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1964	I Feel Fine	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1965	Yes it is	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1965	I´m Down	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1965	Day Tripper	Lennon	1	0	0	0	1	0	Lennon/McCartney
Songs not released on LP	1965	We Can Work It Out	Lennon/McCartney	1	1	0	0	2	0	McCartney
Songs not released on LP	1966	Paperback Writer	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1966	Rain	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1967	Strawberry Fields Forever	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1967	Penny Lane	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1967	Baby, You´re a Rich Man	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Songs not released on LP	1967	Hello, Goodbye	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1968	The Inner Light	Harrison	0	0	1	0	1	0	Harrison
Songs not released on LP	1968	Lady Madonna	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1968	Hey Jude	McCartney	0	1	0	0	1	0	McCartney
Songs not released on LP	1969	Don´t Let Me Down	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1969	The Ballad of John and Yoko	Lennon	1	0	0	0	1	0	Lennon
Songs not released on LP	1969	Old Brown Shoe	Harrison	0	0	1	0	1	0	Harrison
Songs not released on LP	1970	You Know My Name (Look up the Number)	Lennon	1	0	0	0	1	0	Lennon/McCartney/Starr
