 The Back Seat Of My Car,"Speed along the highway,   Honey, I want it my way.   But listen to her daddy's song,   Don't stay out too long.   Ooh, we're just busy hiding,   Sitting in the back seat of my car.   Looking for a ride and all about,   Looking for a ride in and out of town,   Strolling around and all about,   Looking for a ride in and out of...   The laser lights are pretty,   We may end up in Mexico city.   But listen to her daddy's song,   Making love is wrong.   Ooh, we're just busy riding,   Sitting in the back seat of my car.   Oh, oh,...   Pah-pah-pah-pah-pah-pah,   Pah-pah-pah-pah-pah-pah-pah.   For we was only hiding,   Sitting in the back seat of my car.   Yeah   And when we finished driving,   We can say we were late in arriving.   And listen to her daddy's song,   We believe that we can't be wrong, yeah!   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   We can make it to Mexico city,   Sitting in the back seat of my car.   Oh, oh,...   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   Oh-oh, we believe that we can't be wrong,   No, no, no, ...   We believe we can't be wrong,   Yeah! yeah! yeah!   Oh-oh, oh-oh, yeah, oh, yeah."
 Another Day,"Every day she takes a morning bath, she wets her hair   Wraps a towel around her as she's heading for the bedroom chair   It's just another day   Slipping into stockings   Stepping into shoes   Dipping in the pocket of her raincoat   It's just another day   At the office where the papers grow she takes a break   Drinks another coffee and she finds it hard to stay awake   It's just another day   It's just another day   It's just another day   So sad, so sad   Sometimes she feels so sad   Alone in apartment she'd dwell   Till the man of her dreams comes to break the spell   Ah, stay, don't stand her up   And he comes and he stays   But he leaves the next day, so sad   Sometimes she feels so sad   As she posts another letter to the sound of five   People gather 'round her and she finds it hard to stay alive   It's just another day   It's just another day   It's just another day   So sad, so sad   Sometimes she feels so sad   Alone in apartment she'd dwell   Till the man of her dreams comes to break the spell   Ah, stay, don't stand her up   And he comes and he stays   But he leaves the next day, so sad   Sometimes she feels so sad   Every day she takes a morning bath, she wets her hair   Wraps a towel around her as she's heading for the bedroom chair   It's just another day   Slipping into stockings   Stepping into shoes   Dipping in the pocket of her raincoat   Oh-oh-oh, it's just another day   It's just another day   It's just another day"
 "Oh Woman, Oh Why","Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Oh what have I done   What have I done   Well I met her at the bottom of a well of a well   Well I told here I was tryin' to break a spell break a spell   But I can't get by, my hands are tied   Don't why I ever got her to try myself   'Cause I can't get by, my hands are tied   Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Oh what have you done   Woman what have you done   Well I am fed up with your lying cheating ways cheating ways   But I get up every morning and every day every day   But I can't get by, my hands are tied   Don't why I want her to try myself   'Cause I can't get by, my hands are tied   Oh woman, oh why, why, why, why   What have I done   Oh woman, oh where, where, where, where, where   Did you get that gun   Woman, what have I done   What have you done   What have I done"
 Little Woman Love,"I got a little woman I can really love,   My woman fit me like a little glove.   You know I'll always love   My little woman love.   I take her home most ev'ry night,   My woman love to hold me tight.   You know I feel alright   My little woman mine.   Oh yeah, oh yeah,   Oh, oh, oh, oh, oh, oh.   Oh yeah, oh yeah,   Oh, oh, oh, oh, oh, oh.   I take her home most ev'ry night,   My woman love to hold me tight.   You know I feel alright,   My little woman mine."
 A Love For You,"When you met me, oh oh, everything was rosy, ah ah   If you let me, oh oh, everything must surely work out fine   If you go, oh oh, everything's that's rosy turns to pieces   You know, oh oh, everything will go under, believe me   Where will I run to? Where would I hide?   If you ever leave me by my side   Where will I run to? What would I do?   I really am, I really can, I really do, I really have a love for you   Now, if you get me, oh oh, that could save us all some conversation   Don't upset me, oh oh, everything is cosy here tonight   If I move, oh oh, you'd be standing by, it would make a difference   Is it true, oh oh, are you coming through, or were you just leaving?   Where will I run to? Where would I hide?   If you ever leave me by my side   Where will I run to? Baby, where would I hide?   I really am, I really would, I really am, I really have a love for you   Yes, I do yes, I do   Oh, yeah yeah yeah oh oh, oh oh   Oh oh, oh oh   Baby, baby, baby, baby, baby, babe, babe, babe, babe oh oh, oh oh   Oh yeah, would you ever leave me? Oh oh   Yeah, where will I run to? Where would I hide?   If you ever leave me by my side   Where will I run to? Baby, baby, what will I do?   I really am, I really would, I really am, I really have a love for you   Yes, I do   When you met me, oh oh, everything was rosy   If you let me, oh oh, everything must surely work out fine   Oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh, baby, baby, baby, baby, baby   Oh oh   Oh oh oh oh oh oh oh yeah oh oh   Where will I run to? Where would I hide?   If you ever leave me by my side   Where will I run to? Baby, baby, what will I do?   I really am, I really can, I really do, I really have a love for you"
 Hey Diddle,"Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   She can't be found   But love doesn't care, doesn't care   Ah, don't despair   The next time around, she'll be there   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   I wouldn't make her   Her wooden table, I wouldn't care   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Don't be long   My heart isn't strong, don't be long   Ah, never fear   The next time around, she'll be here   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back   Hey diddle, I want you back, diddle, I want you back"
 Rode All Night,"Well I don't feel sick,   Don't feel so bad anymore   Got over it,   Too bad anymore.   Ah, rode all night till I finally hit the daybreak   Rode all night till I finally hit the day   Rode all night till I finally hit the daybreak   Gonna catch Giddy up   Ah, rode all night till I finally hit the daybreak   Rode all night till I finally hit the day   Rode all night till I finally hit the daybreak   Aaow, yeah   Yeah, yeah, yeah, yeah   Rode all night till I finally hit the daybreak   Rode all night till I finally hit the day   Rode all night till I finally hit the daybreak   Well I don't feel so   I don't feel so bad anymore   I'm over it   I don't feel so bad anymore   Yeah   Said I rode all night till I finally hit the daybreak   Rode all night till I finally hit the day   I rode all night till I finally hit the daybreak   Yeah, when the sun comes up   Gonna catch Giddy up   Now I rode all night till I finally hit the daybreak   Rode all night till I finally hit the day   Rode all night till I finally hit the daybreak   Sun comes up   Yeah, rode all night till I finally hit the daybreak   I rode all night till I finally hit the day   I rode all night till I finally hit the daybreak   Sun comes up   I'm gonna catch Giddy up   Aaow, rode all night till I finally hit the daybreak   I rode all night till I finally hit the day   Baby baby   Rode all night till I finally hit the daybreak   Yeah-eah, gonna catch Giddy up, yeah   Yeah I rode all night till I finally hit the daybreak   Baby, rode all night till I finally hit the day   Yeah, rode all night till I finally hit the daybreak   When the sun comes up   I'm gonna catch   I'm gonna catch Giddy up   Yeah, you're so yeah"
 Coming Up,"You want a love to last forever   One that will never fade away   I want to help you with your problem   Stick around, I say   Coming up   Coming up, yeah   Coming up like a flower   Coming up, I say   You want a friend you can rely on   One who will never fade away   And if you're searching for an answer   Stick around, I say   Coming up   Coming up   Coming up like a flower   Coming up, yeah   You want some peace and understanding   So everybody can be free   I know that we can get together   We can make it, stick with me   It's coming up   Coming up   Coming up like a flower   Coming up for you and me   Coming up   Coming up   Coming up   Coming up, I say   Coming up like a flower   Coming up, I feel it in my bones   Yeah, yeah yeah yeah   You want a better kind of future   One that everyone can share   You're not alone, we all could use it   Stick around, we're nearly there   Coming up   Coming up everywhere   Coming up like a flower   Coming up for all to share   Coming up, yeah   Coming up, anyway   Coming up like a flower   Coming up"
 Temporary Secretary,"Mister Marks, can you find for me   Someone strong and sweet fitting on my knee?   She can keep her job if she gets it wrong   Ah, but Mister Marks, I won't need her long   All I need is help for a little while   We can take dictation and learn to smile   And a temporary secretary   Is what I need for to do the job   I need a   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary   Mister Marks, could you send her quick?   'Cause my regular has been getting sick   I need a   Temporary secretary   Temporary secretary   Mister Marks, I can pay her well   If she comes along and can stay a spell   I will promise now that I'll treat her right   And will rarely keep her till late at night   I need a   She can be a belly dancer   I don't need a true romancer   She can be a diplomat   But I don't need a girl like that   She can be a neurosurgeon   If she's doin' nothing urgent   What I need's a temporary, temporary secretary   I need a, I need a   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary   Now, Mister Marks, when I send her back   Will you please make sure she stays on the right track?   Well, I know how hard it is for young girls these days   In the face of everything to stay on the right track   She can be a belly dancer   I don't need a true romancer   She can be a diplomat   But I don't need a girl like that   She can be a neurosurgeon   If she's doin' nothing urgent   What I need's a temporary, temporary secretary   I need a, I need a   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary   What I need's a   Temporary secretary   Temporary secretary   Temporary secretary   Temporary secretary"
 On The Way,"1,2   1,2,3,4   Well you know I'll always love you   But it would have been a lie   If I said that I could please you   Every moment that I try   Wouldn't want to see you crying   So I hope you don't mind the things I say   On the way   Well we've been travelling for a long time   And we finally finished here   Though I said some things to hurt you   Well, it was only out of fear   Wouldn't want to see you crying   So I hope you don't mind the things I say   On the way   Well you know I’ll always love you   Everything will be alright   If I know you don't mind the things I say   On the way   Well, I know you don't mind the things I say   On the way   Well you know I’ll always love you   Everything will be ok   If I know you don't mind the things I say   On the way"
 Waterfalls,"Don't go jumping waterfalls   Please keep to the lake   People who jump waterfalls   Sometimes can make mistakes   And I need love   Yeah, I need love   Like a second needs an hour   Like a raindrop needs a shower   Yeah, I need love   Every minute of the day   And it wouldn't be the same   If you ever should decide to go away   And I need love   Yeah, I need love   Like a castle needs a tower   Like a garden needs a flower   Yeah, I need love   Every minute of the day   And it wouldn't be the same   If you ever should decide to go away   Don't go chasing polar bears   In the great unknown   Some big friendly polar bear   Might want to take you home   And I need love   Yeah, I need love   Like a second needs an hour   Like a raindrop needs a shower   Yeah, I need love   Every minute of the day   And it wouldn't be the same   If you ever should decide to go away   Don't run after motor cars   Please stay on the side   Someone's glossy motor car   Might take you for a ride   And I need love   Yeah, I need love   Like a castle needs a tower   Like a garden needs a flower   And I need love   Yeah, I need love   Like a raindrop needs a shower   Like a second needs an hour   Every minute of the day   And it wouldn't be the same   If you ever should decide to go away   Don't go jumping waterfalls   Please keep to the lake"
 Nobody Knows,"They say, that nobody knows   No nobody knows   Which one of you can tell me   What it is I’m looking at   Anyone who can   Has got to be a crazy cat   'Cause I believe   That nobody knows, no nobody knows   Yeah, nobody knows, no   Lord I cannot tell you   Well that's the way I like it   Yeah now, nobody knows   Woo hoo   Woo hoo   Nobody knows   Oh, nobody knows   Well, Lord you know that nobody knows   Samson and Delilah   Would have made a crazy pair   If the silly woman   Hadn't shaven off his hair   I believe that nobody knows   Yeah, nobody knows   But that's the way I like it   Yeah now, nobody knows   That's the way I like it, nobody knows   I may go hungry   Maybe next week   Well if I do then   I’ll still find something to eat   And you know, nobody knows   No nobody knows   Well that's the way I like it   Baby, nobody knows   And that includes you, honey   nobody knows   I'll pay your rent   I'll do you right   nobody knows   Most every night   But still there's nobody knows   No now, nobody knows   And that's the way I like to keep it   Just so nobody knows"
 Summer's Day Song,"Someone's sleeping   Through a bad dream   Tommorrow it will be over   For the world will soon be waking   To a summer's day   Someone's sleeping   Through a bad dream   Tommorrow it will be over   For the world will soon be waking   To a summer's day"
 Bogey Music,"Everybody bogey   Dig that bogey beat   Man that bogey rhythm   Smells so clean and sweet   Everybody bogey   Bogey on to the street   Without bogey music   Life is incomplete   Without bogey music   Life is incomplete   Everybody bogey   Dig that bogey beat, yeah   If you little bogeys   Want to sing along   You better clean your bogey act up   And learn the bogey song   Without bogey music   Life is incomplete   Without bogey music   Life is incomplete   Bogey music, bogey music   Bogey music, bogey music   Alright, here we are now   Tonight in bogey land   Bogey music, bogey music   Well, when the younger bogeys   Hear that bogey sound   Every little bogey   Got to bogey down   Bogey man, bogey   Bogey man, bogey   Bogey man, bogey on down   Bogey music, bogey music   Bogey music, bogey music   Bogey music, bogey music   Bogey man, bogey on down   All you little bogeys   I want you to sing along   Clean your bogey act up   And learn the bogey song   Without bogey music   Life is incomplete   You know it is, suckers   Bogey music, bogey music   Bogey music, bogey music"
 Darkroom,"Got a place we can go   Lights are low   Let me show you to my darkroom   Came-a, come along with me to my darkroom   Come-a, come along with me to my darkroom   Come-a, come along with me to my darkroom   Come-a, come along with me to my darkroom   Come-a, come a come a come a come a   Come-a, come a come a come a come a   Got a place we can go   Lighting low   Let me show you to my darkroom   Come-a, come along with me to my darkroom   Got a place   Come-a, come along with me to my darkroom   We can go   Got a place we can go   Lighting low   Let me show you to my darkroom   Come-a, come along with me to my darkroom"
